business_id,sc_points_red,sc_rewards_count
BZID-1304479056,1200.0,1
BZID-1304437217,550.0,1
BZID-1304435201,2250.0,1
BZID-1304457108,2700.0,1
BZID-1304473148,18000.0,1
BZID-1304456426,550.0,1
BZID-1304479902,10500.0,1
BZID-1304445303,1200.0,1
BZID-1304458913,2000.0,1
BZID-1304471242,5000.0,1
BZID-1304443720,550.0,1
BZID-1304443853,2250.0,1
BZID-1304460560,16000.0,1
BZID-1304477610,3500.0,1
BZID-1304471122,3800.0,1
BZID-1304471370,3800.0,1
BZID-1304416122,1200.0,1
BZID-1304477794,5000.0,1
BZID-1304461437,1200.0,1
BZID-1304468625,550.0,1
BZID-1304428298,1200.0,1
BZID-1304434125,2700.0,1
BZID-1304463946,9000.0,1
BZID-1304475914,3300.0,2
BZID-1304467231,2100.0,1
BZID-1304479735,1200.0,1
BZID-1304428795,1200.0,1
BZID-1304437234,3300.0,2
BZID-1304470229,3200.0,1
BZID-1304459315,550.0,1
BZID-1304464907,5000.0,1
BZID-1304471048,3300.0,2
BZID-1304461043,1200.0,1
BZID-1304473282,10500.0,1
BZID-1304478754,4500.0,1
BZID-1304476371,550.0,1
BZID-1304472754,5000.0,1
BZID-1304471642,1200.0,1
BZID-1304470067,7500.0,1
BZID-1304452498,5600.0,2
BZID-1304469128,3200.0,1
BZID-1304425451,4800.0,1
BZID-1304474166,2700.0,1
BZID-1304465651,5000.0,1
BZID-1304477475,16000.0,1
BZID-1304460195,2700.0,1
BZID-1304461134,3200.0,1
BZID-1304436299,6600.0,1
BZID-1304476601,10500.0,1
BZID-1304460063,550.0,1
BZID-1304476666,9000.0,1
BZID-1304460591,3800.0,1
BZID-1304476675,4500.0,1
BZID-1304465280,1200.0,1
BZID-1304426534,1200.0,1
BZID-1304477844,33500.0,1
BZID-1304467376,1200.0,1
BZID-1304457040,1200.0,1
BZID-1304436228,2000.0,1
BZID-1304473551,5200.0,2
BZID-1304461444,7700.0,2
BZID-1304475180,10500.0,1
BZID-1304478469,18000.0,1
BZID-1304459207,2100.0,1
BZID-1304470532,67000.0,1
BZID-1304475736,32500.0,1
BZID-1304463676,1100.0,1
BZID-1304479280,16500.0,1
BZID-1304466594,2700.0,1
BZID-1304419646,550.0,1
BZID-1304435666,1200.0,1
BZID-1304480168,550.0,1
BZID-1304477516,8000.0,1
BZID-1304438612,550.0,1
BZID-1304479165,90000.0,1
BZID-1304439524,550.0,1
BZID-1304470375,1300.0,1
BZID-1304458421,2600.0,1
BZID-1304478617,3200.0,1
BZID-1304478634,550.0,1
BZID-1304438560,550.0,1
BZID-1304477460,1200.0,1
BZID-1304433148,7500.0,1
BZID-1304443517,2700.0,1
BZID-1304479608,19150.0,3
BZID-1304460671,550.0,1
BZID-1304464619,1200.0,1
BZID-1304425833,1200.0,1
BZID-1304478059,2700.0,1
BZID-1304427188,1200.0,1
BZID-1304465925,2700.0,1
BZID-1304444736,550.0,1
BZID-1304450550,1300.0,1
BZID-1304461824,2700.0,1
BZID-1304475830,1200.0,1
BZID-1304471448,10500.0,1
BZID-1304460540,2700.0,1
BZID-1304470183,2100.0,1
BZID-1304478423,2100.0,1
BZID-1304473640,7500.0,1
BZID-1304465203,17000.0,1
BZID-1304435616,550.0,1
BZID-1304445674,550.0,1
BZID-1304437939,1200.0,1
BZID-1304478192,1750.0,2
BZID-1304470469,2100.0,1
BZID-1304475976,32500.0,1
BZID-1304461186,17000.0,1
BZID-1304450059,550.0,1
BZID-1304470685,2250.0,1
BZID-1304468693,1300.0,1
BZID-1304471034,1200.0,1
BZID-1304479081,2700.0,1
BZID-1304474041,13200.0,2
BZID-1304431498,1200.0,1
BZID-1304472680,9000.0,1
BZID-1304465785,32500.0,1
BZID-1304480090,2100.0,1
BZID-1304472435,8000.0,1
BZID-1304435536,2700.0,1
BZID-1304476971,1300.0,1
BZID-1304470416,4500.0,1
BZID-1304458654,11700.0,2
BZID-1304428794,550.0,1
BZID-1304450085,4500.0,1
BZID-1304459904,6600.0,1
BZID-1304465161,2700.0,1
BZID-1304464199,16000.0,1
